ID,Date,Chimpanzee,Counterbalance,Trial,Condition,First_Choice,Second_Choice,Belief_Revision
113,11-Jan,Sally,strong_first_weak_second,3,strong_first,strong,strong,no
114,11-Jan,Sally,strong_first_weak_second,4,strong_first,strong,weak,yes
115,11-Jan,Sally,strong_first_weak_second,5,strong_first,strong,strong,no
116,11-Jan,Sally,strong_first_weak_second,6,filler_weak,weak,/,/
117,11-Jan,Sally,strong_first_weak_second,7,weak_first,weak,strong,yes
118,11-Jan,Sally,strong_first_weak_second,8,filler_weak,weak,/,/
119,11-Jan,Sally,strong_first_weak_second,9,weak_first,weak,strong,yes
120,11-Jan,Sally,strong_first_weak_second,10,weak_first,weak,strong,yes
121,11-Jan,Sally,strong_first_weak_second,11,weak_first,weak,strong,yes
122,11-Jan,Becky,weak_first_strong_second,1,weak_first,weak,strong,yes
123,11-Jan,Becky,weak_first_strong_second,2,filler_weak,empty,/,/
124,11-Jan,Becky,weak_first_strong_second,3,weak_first,weak,weak,no
125,11-Jan,Becky,weak_first_strong_second,4,weak_first,weak,strong,yes
126,11-Jan,Becky,weak_first_strong_second,5,weak_first,strong,strong,no
127,11-Jan,Becky,weak_first_strong_second,6,filler_strong,strong,/,/
128,11-Jan,Becky,weak_first_strong_second,7,strong_first,strong,strong,no
129,11-Jan,Becky,weak_first_strong_second,8,filler_strong,empty,/,/
130,11-Jan,Becky,weak_first_strong_second,9,strong_first,strong,strong,no
131,11-Jan,Becky,weak_first_strong_second,10,strong_first,strong,strong,no
132,11-Jan,Becky,weak_first_strong_second,11,strong_first,strong,strong,no
133,11-Jan,Okech,strong_first_weak_second,1,strong_first,strong,strong,no
134,11-Jan,Okech,strong_first_weak_second,2,filler_strong,strong,/,/
135,11-Jan,Okech,strong_first_weak_second,3,strong_first,strong,weak,yes
136,11-Jan,Okech,strong_first_weak_second,4,strong_first,strong,strong,no
137,11-Jan,Okech,strong_first_weak_second,5,strong_first,strong,strong,no
138,11-Jan,Okech,strong_first_weak_second,6,filler_weak,weak,/,/
139,11-Jan,Okech,strong_first_weak_second,7,weak_first,weak,strong,yes
140,11-Jan,Okech,strong_first_weak_second,8,filler_weak,weak,/,/
141,11-Jan,Okech,strong_first_weak_second,9,weak_first,weak,strong,yes
142,11-Jan,Okech,strong_first_weak_second,10,weak_first,weak,strong,yes
143,11-Jan,Okech,strong_first_weak_second,11,weak_first,weak,strong,yes
144,11-Jan,Kidogo,weak_first_strong_second,1,weak_first,weak,strong,yes
145,11-Jan,Kidogo,weak_first_strong_second,2,filler_weak,weak,/,/
146,11-Jan,Kidogo,weak_first_strong_second,3,weak_first,weak,strong,yes
147,11-Jan,Kidogo,weak_first_strong_second,4,weak_first,strong,strong,no
148,11-Jan,Kidogo,weak_first_strong_second,5,weak_first,weak,strong,yes
149,11-Jan,Kidogo,weak_first_strong_second,6,filler_strong,strong,/,/
150,11-Jan,Kidogo,weak_first_strong_second,7,strong_first,strong,strong,no
151,11-Jan,Kidogo,weak_first_strong_second,8,filler_strong,strong,/,/
152,11-Jan,Kidogo,weak_first_strong_second,9,strong_first,strong,strong,no
153,11-Jan,Kidogo,weak_first_strong_second,10,strong_first,strong,strong,no
154,11-Jan,Kidogo,weak_first_strong_second,11,strong_first,strong,strong,no
